,PDB code,Resolution (A),Bnet
0,5WUC,1.6,42.00947552
1,5FXL,1.78,34.11065508
2,5XQP,1.0,31.40221158
3,3S8S,1.3,28.4622219
4,3UX1,2.8,27.52363485
5,1V70,1.3,26.62308693
6,6Q5R,1.61,25.41901676
7,3A07,1.19,25.10988565
8,6BKL,2.0,23.42672441
9,2XMK,1.35,20.87596768
10,4Z9E,2.49,20.54655974
11,3TOE,2.2,17.62332031
12,6TC2,1.36,16.98253676
13,3AGN,0.96,15.26643056
14,2C0H,1.6,15.05614121
15,5KM6,1.6,14.84451112
16,4OJH,1.6,14.83531622
17,5ISI,2.74,14.67282419
18,6FMB,1.3,14.5498093
19,2EHJ,2.79,14.42770002
20,6MC1,2.7,13.96144228
21,5VKR,1.8,13.93148715
22,5GOD,1.15,13.83949331
23,4OCH,1.4,13.65846307
24,6E6Q,1.2,13.27606821
25,5WA8,1.3,13.19991176
26,5CJB,2.4,12.83735194
27,2EWK,1.0,12.71467544
28,4GBT,3.2,12.71130969
29,4QAB,2.98,12.33775745
30,2FPF,3.0,12.33411788
31,1H7K,2.4,12.26206474
32,3FOJ,1.6,12.25648921
33,4RSO,3.5,12.2014307
34,4CNY,1.2,12.17855538
35,2NUO,1.5,11.99186543
36,1U4G,1.4,11.93736536
37,1QVE,1.54,11.86664008
38,5EOJ,2.1,11.68897627
39,5RDV,1.08,11.6780428
40,1SNA,1.5,11.63421158
41,4IOV,3.5,11.54568927
42,3TI6,1.69,11.53661644
43,3S6E,0.95,11.52264964
44,2OH6,2.1,11.2232142
45,2GTY,1.3,11.16194665
46,4IBJ,1.54,11.07005464
47,3V1B,1.28,10.81837775
48,3P0S,3.1,10.67049811
49,6CHE,1.1,10.48047834
50,5MH0,1.14,10.46186911
51,4IVS,2.64,10.45047596
52,2OMG,1.52,10.44779093
53,2XMM,1.65,10.42401831
54,5IO0,1.3,10.42317635
55,6JK3,1.12,10.41998199
56,3QWG,1.99,10.33944973
57,4NXR,1.9,10.32111784
58,3X3B,2.19,10.29728399
59,3LL1,0.97,10.28295601
60,2IDT,1.0,10.08181572
61,5H87,2.24,10.02906098
62,5MH2,1.3,9.951187287
63,5N8W,1.1,9.947801661
64,6UGA,2.5,9.945935959
65,2BPD,1.5,9.941641923
66,2NU5,1.56,9.919969006
67,6G66,1.55,9.915656379
68,2J8B,1.1,9.909801639
69,5BR2,1.8,9.854983137
70,5AYN,2.2,9.8160139
71,1UX7,1.5,9.631266493
72,2JJD,3.2,9.538139875
73,5IPC,1.3,9.451466225
74,4RNG,2.38,9.450112458
75,5Z28,2.24,9.409802894
76,3IXL,1.4,9.395592955
77,6US9,2.0,9.348060895
78,4PE0,1.08,9.292351141
79,6KW6,1.9,9.269460875
80,6TLB,2.85,9.250729703
81,5N5Q,2.53,9.24616018
82,5CT9,1.4,9.134941343
83,4XU6,1.9,9.107310507
84,4N53,3.31,9.082757865
85,4LP9,1.35,9.048297862
86,5IPD,1.75,8.977676307
87,2RHF,1.1,8.915494204
88,2HYQ,2.0,8.888013459
89,1S61,2.1,8.863970383
90,5MP7,2.4,8.844855464
91,3DC7,2.12,8.815405818
92,6L8P,1.6,8.813169748
93,5IPB,1.55,8.811277974
94,5YTL,1.4,8.796325037
95,3M4G,2.05,8.78174736
96,3VQF,1.2,8.754412364
97,6MRR,1.18,8.751235379
98,6Q6C,1.3,8.746017161
99,4ZAV,1.4,8.730243522
100,5I2E,1.6,8.712609818
101,5KPF,1.7,8.596716122
102,4Z39,1.22,8.582319177
103,4C83,2.69,8.570117438
104,4UYS,1.05,8.558690492
105,6GDW,1.8,8.528534025
106,2GBK,1.99,8.497525137
107,5RDG,1.12,8.416920158
108,1L0G,1.5,8.355629636
109,6H8O,1.15,8.326885612
110,5GQL,1.78,8.312135315
111,6TCS,2.3,8.293010407
112,6XCA,1.8,8.289193981
113,6MAX,1.42,8.269430231
114,1LP3,3.03,8.225719027
115,5UWZ,1.25,8.224460714
116,2BBW,2.05,8.181708905
117,5EQW,1.68,8.141316633
118,6L0X,1.3,8.134229265
119,2YAD,2.2,8.130392117
120,1WWI,1.58,8.119422025
121,3AUE,2.28,8.11329675
122,1SBX,1.5,8.07838618
123,6ANA,1.7,8.047112188
124,3G1P,1.4,8.036690069
125,2OB0,1.8,8.023438876
126,4N6X,1.05,8.016543745
127,4TQ4,2.5,8.00428769
128,4DMW,2.5,7.998066604
129,5N5H,1.3,7.942191263
130,6L7Y,2.51,7.938563893
131,6JB9,1.15,7.911129269
132,1XMT,1.15,7.907188306
133,1H68,2.1,7.88931154
134,2ESS,1.9,7.88035323
135,5XBC,1.25,7.866099335
136,3LT3,2.1,7.864804606
137,4B89,1.41,7.834774858
138,3OSE,1.65,7.822132613
139,6R7D,2.35,7.813980332
140,6TRI,2.28,7.809704105
141,2AKZ,1.36,7.803716522
142,5G28,1.57,7.755657446
143,4RL8,2.29,7.737740711
144,4EP4,1.28,7.733323125
145,2BRF,1.4,7.719838922
146,6S7B,2.66,7.698988087
147,1GX1,1.8,7.696668132
148,3W8E,1.24,7.687656422
149,3HMZ,1.5,7.661230664
150,5ND0,1.45,7.656844371
151,5OVC,1.55,7.654987195
152,3WVT,1.6,7.65411724
153,6JDY,1.5,7.653148682
154,6RIK,1.2,7.635203573
155,5LSF,2.1,7.630866945
156,4EQE,1.52,7.626758059
157,4EIS,1.37,7.620911084
158,3GWO,1.65,7.618581936
159,4M6J,1.2,7.60700763
160,6MGY,1.6,7.5976497
161,1HXL,1.8,7.589179825
162,2IYV,1.35,7.525331768
163,2HDO,1.5,7.518791381
164,2OF8,1.05,7.512287633
165,5IMC,1.05,7.484948079
166,4DPB,1.0,7.484613912
167,6YU4,2.26,7.481998156
168,3N7C,2.26,7.465273636
169,6ELF,1.83,7.456645756
170,5ZTK,1.75,7.440873176
171,3VCG,2.3,7.440277899
172,4Z23,2.45,7.423117425
173,6N22,2.4,7.416055475
174,5U9T,1.92,7.409880268
175,6ITP,1.57,7.407849465
176,1XBT,2.4,7.40501172
177,4K07,2.83,7.390898392
178,5AXU,1.6,7.364603903
179,6SYC,1.38,7.352493536
180,5B2N,1.58,7.345104128
181,4D1F,2.7,7.330000675
182,6HOL,1.4,7.326838244
183,3UZA,3.27,7.286751639
184,1H9K,1.8,7.28165738
185,4GGZ,1.75,7.260135167
186,3DW1,1.03,7.258271426
187,5C5X,2.6,7.258187859
188,3JVW,1.8,7.203392336
189,3LL2,0.97,7.19489941
190,3F13,1.7,7.178578688
191,3LKY,1.11,7.171902945
192,6PSA,1.3,7.169607508
193,1G12,1.6,7.141176949
194,5IMA,1.04,7.138586492
195,7JXE,2.04,7.127927146
196,3RKJ,1.98,7.127422491
197,1EEQ,1.5,7.118257332
198,5IMF,1.04,7.116708734
199,2HS2,1.22,7.115822442
200,4QWO,1.52,7.102036206
201,4OZB,1.8,7.095559137
202,4NLM,1.18,7.088621947
203,2WEZ,1.7,7.08159513
204,6ROA,2.65,7.057547376
205,2ECS,1.4,7.051748324
206,6D4E,2.76,7.04254466
207,5YUF,1.6,7.021635157
208,3LJN,2.89,7.014095893
209,6Z4A,1.46,7.012186524
210,5AH9,1.44,7.011683786
211,5JRT,1.53,7.002133666
212,5IMD,1.1,6.998723737
213,3IQO,1.44,6.995511266
214,4OZJ,1.45,6.993483392
215,6JV7,1.31,6.991191333
216,5I5I,2.14,6.989047986
217,5NKQ,2.17,6.98038773
218,3VTG,1.34,6.978919307
219,4P4G,1.7,6.97842813
220,4TOC,2.25,6.972366382
221,5Y0G,1.54,6.971449748
222,1RYQ,1.38,6.964197839
223,4RQN,2.0,6.955756614
224,4QE0,1.85,6.951771112
225,6YPR,1.26,6.948927574
226,5X88,1.76,6.944399228
227,6ENR,1.8,6.935255103
228,5EKG,2.8,6.930471902
229,2XMJ,1.04,6.92361933
230,3PKN,1.8,6.909335202
231,3TA8,2.5,6.90892188
232,1ZVB,1.7,6.908326388
233,6RGG,2.2,6.875731664
234,4QJK,1.54,6.871382915
235,6RI2,1.09,6.871309164
236,5NFA,1.59,6.863520241
237,6KUQ,1.91,6.861961178
238,4YII,1.8,6.847959627
239,6EQH,1.58,6.82956114
240,4JVU,1.3,6.827382972
241,4J10,1.44,6.827278171
242,5GWD,1.89,6.826414587
243,6KJK,1.3,6.820453939
244,2EAQ,1.46,6.819878555
245,5CTA,1.24,6.816380118
246,4XU4,1.9,6.805538043
247,6PIL,2.2,6.79707954
248,5DKA,1.53,6.79645763
249,3GHF,2.2,6.791092456
250,5NJN,1.6,6.790934399
251,3KBF,1.3,6.776507453
252,3DVS,1.02,6.769579463
253,3B7V,1.46,6.756500247
254,3V88,2.3,6.749968436
255,5JEY,2.8,6.741140145
256,5AXV,2.04,6.730452758
257,3EY6,1.05,6.714291582
